Open_Date,Open_Time,Close_Date,Close_Time,Day,Hour,Type,Entry,SL,TP,Result,RR,PnL_pts
2024-02-28,19:30:00,2024-02-29,16:30:00,Thursday,16:30:00,LONG,2045.6,2038.1,2053.1,SL,-1,-7.5
2024-02-29,16:30:00,2024-02-29,18:30:00,Thursday,18:30:00,SHORT,2038.6,2043.0,2034.2,SL,-1,-4.4
2024-03-01,07:30:00,2024-03-01,08:30:00,Friday,08:30:00,LONG,2053.1,2051.4,2054.8,TP,1,1.7
2024-03-01,12:30:00,2024-03-01,13:30:00,Friday,13:30:00,LONG,2056.3,2052.9,2059.7,SL,-1,-3.4
2024-03-01,16:30:00,2024-03-01,19:30:00,Friday,19:30:00,LONG,2063.9,2054.3,2073.5,SL,-1,-9.6
2024-02-29,19:30:00,2024-03-01,20:30:00,Friday,20:30:00,LONG,2057.4,2038.3,2076.5,TP,1,19.1
2024-03-01,21:30:00,2024-03-04,19:30:00,Monday,19:30:00,LONG,2079.8,2054.7,2104.9,TP,1,25.1
2024-03-06,10:30:00,2024-03-06,10:30:00,Wednesday,10:30:00,LONG,2134.4,2132.9,2135.9,TP,1,1.5
2024-03-06,12:30:00,2024-03-06,12:30:00,Wednesday,12:30:00,LONG,2135.8,2133.1,2138.5,TP,1,2.7
2024-03-06,17:30:00,2024-03-06,19:30:00,Wednesday,19:30:00,LONG,2141.6,2133.8,2149.4,TP,1,7.8
2024-03-07,23:30:00,2024-03-08,05:30:00,Friday,05:30:00,LONG,2166.3,2162.7,2169.9,TP,1,3.6
2024-03-08,13:30:00,2024-03-08,13:30:00,Friday,13:30:00,LONG,2169.0,2166.1,2171.9,TP,1,2.9
2024-03-11,13:30:00,2024-03-11,13:30:00,Monday,13:30:00,LONG,2189.3,2184.3,2194.3,SL,-1,-5.0
2024-03-12,17:30:00,2024-03-12,17:30:00,Tuesday,17:30:00,SHORT,2176.2,2182.4,2170.0,TP,1,6.2
2024-03-13,09:30:00,2024-03-13,10:30:00,Wednesday,10:30:00,SHORT,2162.5,2165.7,2159.3,SL,-1,-3.2
2024-03-13,14:30:00,2024-03-13,15:30:00,Wednesday,15:30:00,SHORT,2163.2,2166.5,2159.9,SL,-1,-3.3
2024-03-13,20:30:00,2024-03-13,22:30:00,Wednesday,22:30:00,LONG,2175.4,2169.0,2181.8,TP,1,6.4
2024-03-15,04:30:00,2024-03-15,05:30:00,Friday,05:30:00,SHORT,2165.4,2166.5,2164.3,SL,-1,-1.1
2024-03-14,18:30:00,2024-03-15,14:30:00,Friday,14:30:00,SHORT,2164.7,2174.6,2154.8,SL,-1,-9.9
2024-03-15,11:30:00,2024-03-15,17:30:00,Friday,17:30:00,LONG,2173.4,2167.6,2179.2,SL,-1,-5.8
2024-03-15,22:30:00,2024-03-18,03:30:00,Monday,03:30:00,SHORT,2161.6,2167.4,2155.8,TP,1,5.8
2024-03-16,01:30:00,2024-03-18,03:30:00,Monday,03:30:00,SHORT,2160.1,2163.2,2157.0,TP,1,3.1
